Day of Week,Entry Time,Exit Time,Meal Type,Number of People,Time Spent (minutes),Bill Amount ($),Gender,Table Location,Reservation,Customer Satisfaction,Live Music,Age Group,Weather Condition
Wednesday,11:51,14:25,Breakfast,6,154,147.04,Male,Outdoor,No,5,Yes,46-55,Sunny
Thursday,17:25,18:15,Lunch,2,50,131.1,Female,Window,No,3,No,56+,Cloudy
Thursday,16:28,18:12,Lunch,5,104,107.06,Male,Window,Yes,5,No,36-45,Cloudy
Monday,07:58,09:23,Dinner,5,85,137.59,Male,Outdoor,Yes,2,No,46-55,Clear
Wednesday,18:57,20:43,Lunch,1,106,75.12,Male,Outdoor,Yes,4,Yes,46-55,Sunny
Thursday,15:29,16:48,Dinner,5,79,14.4,Female,Booth,No,1,Yes,25-35,Rainy
Thursday,18:19,19:13,Breakfast,2,54,147.79,Other,Booth,Yes,2,No,18-24,Sunny
Friday,09:25,10:27,Breakfast,6,62,146.35,Male,Window,Yes,4,Yes,46-55,Clear
Monday,15:22,17:03,Lunch,4,101,20.92,Male,Window,No,5,Yes,18-24,Clear
Monday,10:44,11:32,Dinner,2,48,36.73,Male,Window,No,4,Yes,46-55,Clear
Tuesday,14:46,16:20,Dinner,6,94,133.57,Male,Booth,No,3,Yes,25-35,Rainy
Sunday,16:19,18:17,Dinner,3,118,32.82,Male,Outdoor,No,3,No,36-45,Sunny
Wednesday,10:20,12:11,Lunch,4,111,35.81,Male,Outdoor,Yes,3,Yes,46-55,Clear
Monday,17:38,18:53,Breakfast,1,75,47.21,Other,Booth,No,4,No,25-35,Clear
Friday,09:16,10:07,Dinner,1,51,115,Other,Booth,No,3,Yes,46-55,Sunny
Saturday,08:41,10:10,Dinner,3,89,90.44,Other,Booth,Yes,1,Yes,36-45,Clear
Sunday,15:20,17:41,Lunch,1,141,111.9,Other,Outdoor,No,2,No,25-35,Cloudy
Tuesday,20:30,21:07,Lunch,4,37,62.16,Female,Outdoor,Yes,4,No,56+,Cloudy
Tuesday,16:13,18:11,Breakfast,4,118,15,Male,Window,Yes,2,No,18-24,Rainy
Sunday,08:25,11:25,Lunch,2,180,110.91,Other,Window,Yes,2,Yes,25-35,Sunny
Wednesday,18:22,20:34,Breakfast,1,132,101.3,Other,Window,No,4,No,46-55,Clear
Monday,14:01,14:55,Lunch,2,54,16.9,Other,Outdoor,Yes,2,No,36-45,Rainy
Friday,11:22,12:49,Dinner,5,87,67.76,Female,Outdoor,Yes,3,No,25-35,Rainy
Thursday,09:43,10:26,Dinner,1,43,73.87,Male,Window,Yes,4,Yes,18-24,Sunny
Friday,20:24,23:09,Dinner,4,165,57.67,Female,Window,Yes,2,Yes,56+,Rainy
Sunday,15:54,17:05,Lunch,3,71,110.26,Female,Booth,Yes,1,Yes,18-24,Sunny
Tuesday,08:22,10:36,Breakfast,3,134,21.71,Female,Window,Yes,2,No,18-24,Sunny
Sunday,14:08,16:18,Dinner,3,130,107.48,Male,Outdoor,Yes,4,Yes,36-45,Rainy
Thursday,06:06,08:24,Lunch,1,138,94.27,Female,Window,Yes,5,Yes,18-24,Clear
Saturday,07:24,08:53,Breakfast,1,89,99.22,Other,Outdoor,No,2,Yes,18-24,Sunny
Monday,19:47,21:36,Breakfast,3,109,99.23,Male,Window,No,3,No,36-45,Cloudy
Tuesday,21:58,22:55,Dinner,4,57,69.49,Other,Outdoor,Yes,3,No,18-24,Sunny
Wednesday,15:54,16:24,Breakfast,4,30,57.88,Male,Booth,Yes,1,Yes,18-24,Rainy
Friday,18:25,20:54,Lunch,2,149,143.81,Male,Booth,No,3,Yes,36-45,Sunny
Tuesday,15:12,17:45,Breakfast,1,153,68.05,Female,Outdoor,Yes,3,Yes,46-55,Rainy
Friday,11:41,13:48,Dinner,1,127,56.11,Female,Window,Yes,1,No,18-24,Rainy
Thursday,15:03,16:35,Breakfast,5,92,123.59,Male,Outdoor,No,4,Yes,18-24,Cloudy
Monday,16:27,17:17,Breakfast,4,50,107.71,Male,Booth,No,3,No,36-45,Sunny
Monday,06:48,07:50,Breakfast,4,62,102.13,Other,Outdoor,No,3,No,46-55,Sunny
Friday,14:25,16:42,Dinner,3,137,31.64,Male,Outdoor,No,4,No,56+,Sunny
Saturday,13:42,15:40,Dinner,1,118,67.51,Male,Window,Yes,4,No,18-24,Sunny
Thursday,19:49,20:40,Dinner,1,51,57.62,Female,Outdoor,Yes,5,Yes,46-55,Cloudy
Sunday,13:14,15:01,Breakfast,6,107,145.44,Male,Booth,No,2,Yes,46-55,Clear
Saturday,09:47,11:15,Lunch,2,88,47.86,Other,Window,No,1,Yes,56+,Rainy
Saturday,16:21,17:32,Breakfast,1,71,119.18,Male,Outdoor,No,5,No,36-45,Cloudy
Sunday,10:06,12:41,Breakfast,1,155,137.56,Male,Booth,No,1,No,36-45,Clear
Thursday,08:54,09:34,Dinner,4,40,16.52,Male,Window,Yes,5,No,36-45,Rainy
Saturday,16:01,16:35,Dinner,1,34,37.58,Female,Booth,No,1,Yes,56+,Cloudy
Saturday,15:49,16:47,Breakfast,5,58,127.31,Female,Outdoor,No,3,Yes,25-35,Clear
Saturday,19:23,20:11,Dinner,5,48,32.89,Male,Window,No,4,No,18-24,Clear
Sunday,21:53,23:21,Dinner,2,88,30.6,Other,Window,Yes,2,Yes,46-55,Cloudy
Wednesday,08:21,10:18,Dinner,1,117,136.6,Other,Outdoor,No,1,No,25-35,Clear
Sunday,07:13,09:23,Lunch,5,130,34.16,Male,Outdoor,No,2,Yes,36-45,Sunny
Tuesday,15:59,17:35,Breakfast,2,96,96.22,Male,Window,No,2,No,56+,Rainy
Saturday,15:51,18:25,Lunch,1,154,142.85,Male,Window,Yes,4,Yes,36-45,Rainy
Friday,10:38,12:36,Breakfast,5,118,145.51,Male,Outdoor,No,1,Yes,18-24,Cloudy
Thursday,20:37,22:39,Dinner,4,122,40.51,Male,Outdoor,No,2,Yes,56+,Rainy
Sunday,14:03,14:57,Lunch,5,54,34.05,Male,Booth,Yes,4,No,36-45,Sunny
Monday,10:08,12:39,Breakfast,5,151,73.17,Male,Booth,No,2,No,56+,Sunny
Thursday,07:40,09:08,Lunch,5,88,119.1,Other,Window,Yes,2,Yes,46-55,Clear
Saturday,16:27,17:15,Lunch,4,48,148.73,Female,Booth,No,2,No,36-45,Rainy
Tuesday,08:21,09:56,Lunch,3,95,120.23,Female,Outdoor,No,5,No,36-45,Clear
Thursday,09:56,11:08,Lunch,6,72,97.54,Male,Outdoor,Yes,1,Yes,36-45,Sunny
Sunday,06:17,07:59,Breakfast,6,102,86.21,Female,Outdoor,Yes,1,Yes,56+,Sunny
Wednesday,17:35,20:32,Lunch,6,177,98.75,Other,Window,No,4,No,18-24,Sunny
Sunday,16:05,17:01,Breakfast,5,56,33.58,Male,Window,Yes,5,Yes,56+,Cloudy
Saturday,17:24,19:09,Lunch,1,105,108.07,Female,Window,Yes,1,No,18-24,Rainy
Thursday,12:18,14:13,Dinner,1,115,149.9,Male,Outdoor,No,1,Yes,18-24,Cloudy
Monday,18:43,21:37,Lunch,5,174,127.58,Male,Booth,Yes,2,No,36-45,Rainy
Wednesday,19:11,20:11,Breakfast,6,60,75.84,Female,Window,Yes,1,Yes,36-45,Cloudy
Tuesday,08:46,10:19,Lunch,3,93,69.3,Male,Outdoor,No,5,No,46-55,Cloudy
Wednesday,17:46,19:45,Dinner,5,119,58.43,Male,Window,Yes,5,Yes,56+,Rainy
Tuesday,13:24,16:08,Lunch,3,164,132.41,Other,Outdoor,Yes,2,No,46-55,Sunny
Friday,09:12,09:52,Lunch,6,40,15.9,Male,Outdoor,Yes,2,Yes,36-45,Cloudy
Monday,17:09,19:21,Breakfast,4,132,39.27,Male,Outdoor,No,3,No,18-24,Cloudy
Sunday,19:05,21:31,Breakfast,3,146,96.03,Other,Booth,Yes,4,Yes,46-55,Clear
Thursday,18:58,20:20,Breakfast,5,82,78.47,Male,Booth,Yes,4,No,18-24,Clear
Thursday,21:59,22:58,Breakfast,3,59,140.99,Other,Outdoor,Yes,1,No,56+,Sunny
Sunday,10:16,12:38,Lunch,2,142,20.16,Other,Window,No,5,Yes,36-45,Clear
Friday,06:34,09:34,Breakfast,3,180,83.78,Male,Booth,No,4,Yes,46-55,Sunny
Friday,18:00,19:55,Breakfast,4,115,48.32,Other,Outdoor,Yes,1,Yes,46-55,Cloudy
Friday,16:17,16:54,Dinner,1,37,114.59,Other,Outdoor,No,5,No,36-45,Clear
Saturday,16:26,17:16,Dinner,6,50,99.86,Other,Booth,No,5,No,46-55,Sunny
Friday,12:57,13:59,Dinner,2,62,22.26,Female,Outdoor,No,4,No,56+,Cloudy
Friday,13:25,15:47,Breakfast,6,142,132.01,Female,Outdoor,No,4,Yes,25-35,Clear
Saturday,08:18,09:37,Dinner,6,79,123.54,Other,Window,Yes,4,Yes,46-55,Cloudy
Monday,14:22,15:58,Dinner,4,96,89.37,Male,Outdoor,No,2,No,36-45,Rainy
Saturday,09:39,10:29,Lunch,1,50,149.26,Male,Window,Yes,2,Yes,46-55,Cloudy
Saturday,13:14,15:31,Dinner,2,137,103.99,Male,Booth,Yes,1,No,36-45,Cloudy
Sunday,19:49,21:38,Dinner,3,109,144.46,Male,Window,No,1,No,25-35,Sunny
Thursday,07:25,09:08,Breakfast,6,103,148.37,Male,Booth,Yes,1,No,25-35,Rainy
Monday,17:31,20:26,Breakfast,3,175,107.01,Other,Booth,Yes,4,No,25-35,Clear
Saturday,13:02,15:08,Lunch,1,126,89.24,Other,Booth,No,5,No,36-45,Cloudy
Tuesday,11:28,13:43,Breakfast,3,135,26.07,Male,Window,Yes,3,No,36-45,Rainy
Wednesday,21:42,23:22,Dinner,5,100,124.53,Other,Outdoor,No,3,Yes,46-55,Sunny
Wednesday,21:55,00:54,Breakfast,5,179,73.14,Female,Window,Yes,3,Yes,46-55,Rainy
Friday,15:52,18:31,Lunch,6,159,56.11,Female,Outdoor,No,4,No,18-24,Sunny
Tuesday,21:35,22:20,Breakfast,3,45,91.48,Other,Window,Yes,2,Yes,25-35,Rainy
Tuesday,13:23,16:21,Breakfast,2,178,91.64,Male,Booth,Yes,4,No,25-35,Rainy
Saturday,09:54,10:27,Lunch,2,33,21.91,Female,Booth,No,3,Yes,46-55,Sunny
Thursday,16:49,18:49,Dinner,1,120,55.64,Male,Booth,Yes,1,No,46-55,Sunny
Tuesday,14:01,15:14,Lunch,1,73,148.3,Female,Window,Yes,2,Yes,46-55,Clear
Monday,09:57,12:07,Breakfast,6,130,55.95,Female,Outdoor,Yes,2,Yes,18-24,Sunny
Wednesday,19:06,21:05,Dinner,1,119,145.2,Male,Outdoor,Yes,4,No,56+,Clear
Monday,18:19,19:19,Lunch,4,60,105.09,Female,Booth,No,3,Yes,46-55,Sunny
Friday,07:03,07:39,Breakfast,4,36,80.44,Female,Window,Yes,1,No,56+,Rainy
Tuesday,21:36,00:04,Dinner,2,148,53.05,Female,Booth,No,3,No,25-35,Sunny
Thursday,10:51,13:11,Dinner,5,140,81.86,Female,Window,No,1,Yes,25-35,Rainy
Thursday,16:10,18:34,Breakfast,1,144,128.72,Male,Window,No,2,No,25-35,Rainy
Monday,06:33,07:27,Dinner,4,54,32.59,Male,Booth,Yes,4,No,36-45,Rainy
Monday,21:51,23:09,Lunch,4,78,96.16,Other,Outdoor,Yes,1,Yes,25-35,Clear
Wednesday,10:56,13:35,Lunch,2,159,64.93,Male,Window,No,2,No,46-55,Rainy
Wednesday,20:59,21:46,Dinner,1,47,73.63,Other,Booth,Yes,4,No,36-45,Sunny
Sunday,06:07,07:54,Lunch,3,107,32.48,Other,Booth,Yes,3,No,46-55,Clear
Friday,16:38,18:36,Dinner,3,118,108.32,Male,Booth,No,5,No,46-55,Sunny
Saturday,14:16,16:37,Lunch,5,141,49.72,Female,Outdoor,Yes,3,Yes,36-45,Clear
Wednesday,18:41,21:08,Lunch,4,147,38.03,Male,Window,Yes,4,No,25-35,Cloudy
Tuesday,12:09,13:56,Lunch,1,107,77.2,Other,Booth,Yes,1,No,25-35,Sunny
Sunday,21:48,00:45,Lunch,5,177,84.51,Male,Booth,Yes,1,No,18-24,Rainy
Friday,17:59,18:39,Lunch,6,40,81.67,Other,Outdoor,Yes,2,No,56+,Clear
Friday,16:21,17:14,Dinner,6,53,137.61,Female,Window,No,1,Yes,46-55,Sunny
Saturday,17:32,18:34,Breakfast,6,62,105.05,Male,Window,No,1,Yes,18-24,Sunny
Friday,09:47,11:59,Dinner,2,132,130.77,Male,Booth,No,4,No,18-24,Rainy
Saturday,16:08,16:51,Dinner,5,43,11.6,Female,Window,No,4,Yes,46-55,Clear
Saturday,10:12,12:19,Breakfast,6,127,54.98,Male,Booth,No,4,No,18-24,Rainy
Thursday,15:15,18:01,Lunch,5,166,88.76,Female,Outdoor,Yes,4,No,46-55,Clear
Sunday,09:15,11:11,Breakfast,6,116,20.32,Male,Window,Yes,3,Yes,36-45,Cloudy
Tuesday,14:58,17:40,Lunch,4,162,101.95,Female,Window,Yes,3,No,36-45,Sunny
Tuesday,15:18,16:21,Breakfast,5,63,135.66,Male,Outdoor,No,3,No,36-45,Sunny
Friday,18:41,21:25,Breakfast,1,164,34.34,Other,Window,No,5,No,56+,Clear
Wednesday,09:53,12:19,Breakfast,2,146,29.12,Male,Window,No,2,No,18-24,Sunny
Sunday,13:31,15:51,Breakfast,1,140,59.47,Female,Booth,Yes,3,Yes,18-24,Cloudy
Thursday,15:38,16:47,Breakfast,1,69,88,Female,Outdoor,No,5,Yes,46-55,Cloudy
Friday,09:12,11:39,Lunch,3,147,37.91,Female,Booth,Yes,5,Yes,25-35,Clear
Wednesday,10:41,13:22,Lunch,3,161,144.28,Female,Booth,Yes,5,Yes,56+,Sunny
Friday,16:54,18:59,Dinner,4,125,109.76,Female,Window,Yes,5,Yes,25-35,Clear
Sunday,20:27,23:24,Breakfast,1,177,13.45,Male,Outdoor,Yes,4,Yes,36-45,Cloudy
Friday,08:24,09:19,Lunch,2,55,120.66,Other,Booth,Yes,5,No,36-45,Sunny
Sunday,09:03,09:36,Lunch,2,33,53.95,Male,Window,Yes,4,No,46-55,Rainy
Monday,09:02,11:09,Dinner,6,127,113.7,Female,Outdoor,No,5,Yes,18-24,Cloudy
Friday,20:35,23:32,Breakfast,5,177,105.59,Female,Booth,Yes,4,Yes,18-24,Rainy
Sunday,12:56,15:03,Lunch,4,127,103.14,Other,Booth,Yes,3,No,46-55,Rainy
Sunday,11:31,13:47,Dinner,1,136,147.59,Male,Window,Yes,5,No,56+,Sunny
Friday,19:44,22:02,Dinner,4,138,149.15,Other,Window,Yes,2,No,36-45,Rainy
Friday,14:33,16:51,Lunch,2,138,17.95,Male,Window,No,5,No,46-55,Clear
Thursday,12:52,14:57,Lunch,3,125,38.87,Female,Booth,No,4,Yes,18-24,Cloudy
Tuesday,06:30,09:24,Dinner,5,174,143.06,Female,Booth,No,4,Yes,25-35,Rainy
Friday,15:26,17:08,Dinner,5,102,57.28,Male,Booth,Yes,3,No,46-55,Clear
Wednesday,13:14,15:30,Lunch,3,136,67.68,Male,Window,Yes,5,No,25-35,Clear
Friday,15:41,17:53,Dinner,5,132,81.16,Male,Outdoor,No,1,No,56+,Cloudy
Friday,07:04,09:39,Lunch,4,155,83.16,Male,Window,Yes,5,Yes,36-45,Cloudy
Wednesday,08:05,08:39,Lunch,5,34,75.6,Female,Outdoor,Yes,2,Yes,18-24,Clear
Wednesday,13:38,14:55,Lunch,3,77,115.52,Other,Window,No,5,Yes,36-45,Rainy
Friday,20:58,21:48,Dinner,2,50,98.48,Other,Window,Yes,4,Yes,56+,Cloudy
Saturday,12:09,13:10,Lunch,5,61,51.59,Male,Booth,Yes,3,Yes,18-24,Sunny
Monday,17:08,18:28,Breakfast,5,80,106.62,Male,Booth,Yes,3,No,46-55,Sunny
Thursday,19:52,22:30,Breakfast,4,158,47.45,Male,Outdoor,No,2,Yes,25-35,Rainy
Monday,09:48,11:21,Dinner,4,93,91.8,Other,Booth,Yes,3,No,36-45,Cloudy
Saturday,21:12,22:14,Dinner,5,62,44.96,Female,Outdoor,Yes,5,Yes,25-35,Cloudy
Sunday,17:14,19:00,Dinner,6,106,23.83,Female,Booth,Yes,5,Yes,36-45,Sunny
Friday,20:42,23:12,Breakfast,6,150,98.38,Female,Window,No,1,No,36-45,Cloudy
Thursday,11:53,12:59,Dinner,4,66,109.36,Male,Outdoor,No,2,Yes,18-24,Rainy
Friday,16:15,18:51,Breakfast,4,156,14.94,Male,Window,No,3,Yes,18-24,Cloudy
Tuesday,06:52,08:56,Lunch,1,124,121.23,Male,Window,Yes,5,Yes,56+,Cloudy
Thursday,12:25,15:15,Lunch,6,170,36.05,Female,Window,Yes,4,Yes,25-35,Rainy
Tuesday,06:30,09:29,Breakfast,2,179,69.49,Male,Booth,No,4,No,36-45,Rainy
Wednesday,11:45,14:17,Lunch,3,152,21.76,Female,Outdoor,Yes,2,Yes,18-24,Sunny
Thursday,12:43,15:33,Breakfast,5,170,103.1,Male,Window,Yes,3,Yes,18-24,Sunny
Wednesday,15:26,18:18,Breakfast,3,172,71.59,Other,Outdoor,No,5,No,36-45,Sunny
Tuesday,14:38,16:07,Dinner,3,89,136.51,Male,Booth,Yes,1,Yes,18-24,Rainy
Thursday,20:27,22:38,Dinner,3,131,108.12,Female,Booth,Yes,2,No,36-45,Sunny
Wednesday,09:58,10:38,Lunch,3,40,85.92,Male,Outdoor,Yes,2,Yes,25-35,Sunny
Wednesday,09:12,12:12,Lunch,3,180,94.21,Other,Outdoor,Yes,5,Yes,56+,Rainy
Tuesday,07:30,09:55,Dinner,6,145,120.62,Other,Window,No,4,Yes,46-55,Rainy
Sunday,06:25,07:07,Lunch,4,42,128.6,Other,Booth,Yes,2,Yes,25-35,Clear
Thursday,18:56,21:37,Dinner,4,161,42.17,Female,Window,No,5,Yes,56+,Rainy
Wednesday,17:05,18:09,Lunch,3,64,77.54,Male,Window,No,2,No,36-45,Rainy
Sunday,06:23,08:26,Dinner,2,123,101.53,Female,Booth,No,5,No,18-24,Sunny
Thursday,18:39,20:39,Dinner,2,120,25.75,Female,Outdoor,Yes,1,Yes,46-55,Sunny
Sunday,14:20,16:09,Dinner,2,109,69.68,Other,Window,Yes,1,No,25-35,Cloudy
Tuesday,17:33,18:59,Breakfast,1,86,12.76,Female,Window,Yes,2,Yes,46-55,Cloudy
Tuesday,14:11,15:06,Lunch,5,55,33.66,Other,Window,No,5,Yes,56+,Sunny
Tuesday,06:55,07:56,Breakfast,6,61,105.41,Male,Booth,No,3,No,56+,Cloudy
Sunday,10:40,11:43,Lunch,2,63,25.04,Male,Outdoor,No,4,Yes,56+,Clear
Saturday,21:52,23:42,Lunch,3,110,89.7,Female,Booth,Yes,1,Yes,25-35,Sunny
Tuesday,13:30,14:09,Dinner,3,39,11.22,Female,Window,Yes,2,No,18-24,Clear
Thursday,08:10,08:42,Breakfast,1,32,123,Female,Booth,No,4,No,25-35,Sunny
Tuesday,19:31,21:49,Lunch,3,138,91.81,Other,Window,No,4,Yes,56+,Sunny
Tuesday,11:25,12:29,Dinner,2,64,145.89,Male,Outdoor,No,3,No,36-45,Cloudy
Tuesday,20:22,21:19,Dinner,2,57,120.73,Male,Outdoor,No,5,No,25-35,Sunny
Tuesday,08:25,11:00,Breakfast,3,155,93.51,Other,Window,Yes,5,Yes,25-35,Cloudy
Thursday,08:08,10:31,Dinner,2,143,12.51,Other,Outdoor,No,2,No,56+,Sunny
Thursday,08:33,10:45,Breakfast,4,132,124.49,Male,Booth,Yes,4,Yes,36-45,Rainy
Wednesday,13:29,16:10,Lunch,6,161,18.71,Male,Window,No,5,No,18-24,Cloudy
Tuesday,08:55,10:12,Dinner,3,77,146.88,Male,Outdoor,Yes,3,No,18-24,Clear
Sunday,06:49,08:21,Dinner,3,92,62.31,Female,Booth,No,4,No,56+,Clear
Tuesday,10:55,13:36,Lunch,2,161,119.88,Other,Window,Yes,1,Yes,36-45,Cloudy
Saturday,07:59,08:31,Breakfast,2,32,133.47,Other,Window,No,3,No,46-55,Clear
Saturday,18:47,20:22,Dinner,1,95,111.49,Female,Booth,No,2,Yes,18-24,Rainy
Saturday,06:59,08:41,Dinner,4,102,125.48,Female,Window,No,2,Yes,46-55,Sunny
Monday,09:03,11:59,Breakfast,5,176,35.81,Other,Outdoor,Yes,1,No,36-45,Clear
Monday,14:17,17:07,Breakfast,2,170,64.93,Male,Outdoor,Yes,3,No,56+,Rainy
Friday,06:42,08:44,Dinner,6,122,88.39,Male,Outdoor,Yes,3,Yes,36-45,Sunny
Thursday,20:54,21:55,Breakfast,3,61,114.13,Female,Outdoor,No,4,No,56+,Rainy
Friday,16:39,17:53,Lunch,4,74,146.19,Female,Outdoor,No,2,No,25-35,Cloudy
Wednesday,09:17,10:34,Breakfast,2,77,35.14,Other,Booth,No,3,No,46-55,Clear
Friday,16:34,18:32,Breakfast,3,118,39.5,Other,Window,Yes,2,No,25-35,Clear
Thursday,20:53,22:07,Breakfast,4,74,40.9,Other,Window,Yes,5,No,25-35,Cloudy
Thursday,15:53,16:51,Dinner,2,58,88.36,Other,Window,Yes,1,Yes,56+,Cloudy
Sunday,06:34,08:59,Dinner,6,145,64.33,Female,Booth,No,3,Yes,46-55,Clear
Wednesday,08:57,10:49,Lunch,2,112,12.89,Other,Outdoor,Yes,2,Yes,18-24,Rainy
Monday,19:22,20:28,Dinner,2,66,15.05,Male,Outdoor,No,2,Yes,36-45,Rainy
Friday,06:06,07:04,Lunch,6,58,132.74,Other,Booth,No,2,No,36-45,Sunny
Thursday,18:48,21:17,Breakfast,1,149,63.9,Female,Window,Yes,4,Yes,18-24,Clear
Friday,11:18,13:02,Lunch,4,104,92.65,Male,Window,No,3,Yes,36-45,Rainy
Wednesday,14:49,15:23,Breakfast,6,34,15.67,Male,Booth,Yes,4,Yes,25-35,Rainy
Saturday,13:35,15:13,Dinner,1,98,89.02,Female,Window,Yes,4,Yes,56+,Sunny
Tuesday,17:15,18:59,Breakfast,3,104,89.21,Male,Outdoor,No,3,Yes,18-24,Rainy
Wednesday,08:20,09:22,Breakfast,3,62,82.93,Male,Window,No,2,Yes,46-55,Rainy
Monday,08:59,09:46,Breakfast,6,47,36.4,Male,Outdoor,Yes,5,Yes,46-55,Rainy
Friday,15:52,17:38,Lunch,2,106,22.84,Male,Window,Yes,4,Yes,46-55,Cloudy
Wednesday,20:44,23:08,Dinner,2,144,144.73,Male,Booth,No,5,Yes,56+,Sunny
Saturday,16:54,19:50,Lunch,5,176,90.17,Other,Window,Yes,4,Yes,18-24,Sunny
Tuesday,07:22,09:37,Lunch,6,135,92.03,Other,Window,Yes,4,No,36-45,Rainy
Tuesday,21:23,22:01,Dinner,5,38,112.89,Male,Outdoor,No,5,Yes,36-45,Cloudy
Monday,21:32,23:03,Breakfast,1,91,142.25,Female,Outdoor,Yes,3,No,36-45,Cloudy
Thursday,18:09,20:25,Breakfast,4,136,22.66,Other,Outdoor,No,4,Yes,56+,Cloudy
Sunday,16:42,18:24,Lunch,4,102,62.1,Other,Booth,Yes,2,Yes,36-45,Cloudy
Saturday,12:44,15:05,Breakfast,2,141,119.55,Other,Outdoor,Yes,2,Yes,25-35,Clear
Friday,11:10,12:30,Lunch,3,80,13.99,Other,Window,No,1,Yes,46-55,Cloudy
Sunday,17:38,18:29,Lunch,3,51,90.84,Other,Booth,No,3,Yes,46-55,Rainy
Saturday,08:52,10:13,Lunch,6,81,130.54,Other,Outdoor,No,3,Yes,18-24,Sunny
Sunday,06:53,07:25,Breakfast,1,32,93.76,Male,Booth,Yes,3,No,56+,Cloudy
Tuesday,10:13,11:17,Breakfast,1,64,118.21,Other,Window,No,1,Yes,56+,Cloudy
Thursday,08:30,10:40,Lunch,1,130,88.17,Male,Booth,No,3,Yes,56+,Sunny
Friday,13:43,14:53,Lunch,4,70,16.25,Male,Outdoor,No,4,No,18-24,Sunny
Wednesday,20:59,23:09,Lunch,2,130,64.27,Male,Booth,No,2,Yes,46-55,Clear
Sunday,07:01,07:47,Lunch,6,46,27.56,Male,Booth,No,1,No,46-55,Clear
Wednesday,16:41,19:27,Lunch,5,166,142.35,Female,Window,No,2,Yes,25-35,Clear
Sunday,21:42,23:51,Lunch,2,129,63.39,Other,Booth,Yes,5,Yes,18-24,Sunny
Sunday,07:30,10:07,Lunch,2,157,122.89,Male,Outdoor,Yes,4,Yes,46-55,Rainy
Saturday,12:43,15:17,Breakfast,5,154,76.96,Female,Booth,No,2,Yes,46-55,Sunny
Tuesday,07:47,09:01,Breakfast,5,74,76.33,Other,Booth,Yes,3,No,18-24,Cloudy
Wednesday,19:19,21:27,Lunch,5,128,138.24,Male,Window,No,4,No,56+,Sunny
Monday,09:25,11:43,Breakfast,4,138,70.96,Other,Booth,Yes,4,No,56+,Clear
Friday,06:11,07:10,Lunch,2,59,31.24,Female,Outdoor,No,1,No,25-35,Sunny
Thursday,13:47,15:09,Breakfast,2,82,67.84,Female,Window,Yes,3,Yes,25-35,Sunny
Sunday,12:29,13:17,Lunch,1,48,113.54,Other,Outdoor,Yes,3,Yes,36-45,Sunny
Sunday,13:01,13:48,Lunch,4,47,139.29,Other,Booth,No,2,No,56+,Cloudy
Monday,09:57,10:38,Dinner,4,41,82.59,Male,Window,Yes,3,Yes,46-55,Sunny
Friday,17:10,18:52,Lunch,2,102,62.77,Female,Outdoor,Yes,3,No,46-55,Sunny
Wednesday,11:35,14:21,Lunch,3,166,147.44,Male,Booth,Yes,1,Yes,56+,Cloudy
Thursday,17:00,17:30,Dinner,3,30,106.43,Female,Window,Yes,3,Yes,36-45,Rainy
Friday,16:56,17:59,Breakfast,4,63,148,Female,Window,Yes,2,No,36-45,Sunny
Monday,21:54,23:51,Breakfast,6,117,140.71,Male,Outdoor,Yes,2,Yes,56+,Sunny
Wednesday,18:48,19:41,Dinner,1,53,119.04,Female,Outdoor,No,3,Yes,36-45,Rainy
Saturday,16:55,18:07,Lunch,3,72,95.57,Male,Booth,No,2,Yes,25-35,Cloudy
Monday,14:45,16:27,Dinner,2,102,46.1,Female,Window,Yes,3,No,46-55,Cloudy
Monday,12:56,14:34,Dinner,6,98,146.26,Other,Booth,No,3,Yes,36-45,Rainy
Friday,09:38,11:53,Lunch,5,135,43.2,Female,Booth,No,3,No,46-55,Cloudy
Saturday,07:03,09:24,Dinner,2,141,100.03,Female,Booth,Yes,3,Yes,25-35,Sunny
Sunday,14:07,15:42,Lunch,4,95,142.74,Male,Booth,No,3,No,56+,Cloudy
Friday,07:27,09:48,Lunch,6,141,42.73,Male,Outdoor,Yes,4,Yes,56+,Clear
Saturday,17:23,19:28,Lunch,5,125,105.94,Male,Window,No,2,Yes,46-55,Clear
Monday,18:48,20:35,Breakfast,5,107,103.47,Other,Window,No,1,Yes,18-24,Rainy
Sunday,11:06,12:07,Lunch,4,61,140.78,Female,Outdoor,Yes,2,Yes,46-55,Clear
Saturday,19:30,20:25,Dinner,3,55,71.38,Male,Window,Yes,5,Yes,18-24,Rainy
Saturday,16:32,18:59,Lunch,3,147,71.94,Male,Window,Yes,1,No,18-24,Cloudy
Sunday,14:22,17:04,Breakfast,6,162,127.61,Male,Window,No,2,No,18-24,Sunny
Saturday,21:36,00:05,Breakfast,3,149,135.35,Female,Window,No,3,Yes,46-55,Cloudy
Sunday,16:21,17:05,Dinner,1,44,112.48,Other,Booth,No,3,Yes,18-24,Clear
Thursday,11:34,12:59,Dinner,4,85,61.48,Female,Window,Yes,1,No,25-35,Sunny
Thursday,10:46,13:17,Dinner,1,151,56.18,Male,Window,Yes,1,Yes,56+,Rainy
Monday,21:45,22:15,Breakfast,5,30,128.58,Male,Window,No,2,Yes,46-55,Sunny
Thursday,17:53,18:55,Lunch,5,62,125.3,Other,Window,Yes,3,Yes,56+,Cloudy
